"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2015 21:00 - 02/01/2015 21:15","BZN|NL","12991.45","12664.20"
"02/01/2015 21:15 - 02/01/2015 21:30","BZN|NL","12872.85","12437.29"
"02/01/2015 21:30 - 02/01/2015 21:45","BZN|NL","12503.04","12204.27"
"02/01/2015 21:45 - 02/01/2015 22:00","BZN|NL","12160.82","12014.59"
"02/01/2015 22:00 - 02/01/2015 22:15","BZN|NL","12080.12","11786.29"
"02/01/2015 22:15 - 02/01/2015 22:30","BZN|NL","11789.34","11566.31"
"02/01/2015 22:30 - 02/01/2015 22:45","BZN|NL","11598.70","11339.68"
"02/01/2015 22:45 - 02/01/2015 23:00","BZN|NL","11412.89","11128.93"
"02/01/2015 23:00 - 02/01/2015 23:15","BZN|NL","11254.38","10952.51"
"02/01/2015 23:15 - 02/01/2015 23:30","BZN|NL","11301.71","10747.89"
"02/01/2015 23:30 - 02/01/2015 23:45","BZN|NL","11198.32","10479.17"
"02/01/2015 23:45 - 03/01/2015 00:00","BZN|NL","10964.05","10237.06"
"03/01/2015 00:00 - 03/01/2015 00:15","BZN|NL","10940.43","9990.54"
"03/01/2015 00:15 - 03/01/2015 00:30","BZN|NL","10968.89","9795.02"
"03/01/2015 00:30 - 03/01/2015 00:45","BZN|NL","10860.14","9570.38"
"03/01/2015 00:45 - 03/01/2015 01:00","BZN|NL","10705.25","9348.64"
"03/01/2015 01:00 - 03/01/2015 01:15","BZN|NL","10587.37","9146.87"
"03/01/2015 01:15 - 03/01/2015 01:30","BZN|NL","10583.25","8989.80"
"03/01/2015 01:30 - 03/01/2015 01:45","BZN|NL","10459.90","8844.09"
"03/01/2015 01:45 - 03/01/2015 02:00","BZN|NL","10372.32","8722.17"
"03/01/2015 02:00 - 03/01/2015 02:15","BZN|NL","10276.44","8620.37"
"03/01/2015 02:15 - 03/01/2015 02:30","BZN|NL","10202.65","8535.43"
"03/01/2015 02:30 - 03/01/2015 02:45","BZN|NL","10195.60","8464.09"
"03/01/2015 02:45 - 03/01/2015 03:00","BZN|NL","10177.77","8397.80"
"03/01/2015 03:00 - 03/01/2015 03:15","BZN|NL","10171.22","8370.56"
"03/01/2015 03:15 - 03/01/2015 03:30","BZN|NL","10091.20","8332.02"
"03/01/2015 03:30 - 03/01/2015 03:45","BZN|NL","10003.17","8288.28"
"03/01/2015 03:45 - 03/01/2015 04:00","BZN|NL","9920.98","8255.20"
"03/01/2015 04:00 - 03/01/2015 04:15","BZN|NL","9804.10","8264.34"
"03/01/2015 04:15 - 03/01/2015 04:30","BZN|NL","9806.99","8269.73"
"03/01/2015 04:30 - 03/01/2015 04:45","BZN|NL","9854.00","8287.66"
"03/01/2015 04:45 - 03/01/2015 05:00","BZN|NL","9896.19","8308.26"
"03/01/2015 05:00 - 03/01/2015 05:15","BZN|NL","9985.31","8366.31"
