"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"14/01/2015 06:00:00 - 14/01/2015 07:00:00","BZN|NL","Without Sequence","48.00","",""
"14/01/2015 07:00:00 - 14/01/2015 08:00:00","BZN|NL","Without Sequence","47.79","",""
"14/01/2015 08:00:00 - 14/01/2015 09:00:00","BZN|NL","Without Sequence","48.14","",""
"14/01/2015 09:00:00 - 14/01/2015 10:00:00","BZN|NL","Without Sequence","45.50","",""
"14/01/2015 10:00:00 - 14/01/2015 11:00:00","BZN|NL","Without Sequence","45.03","",""
"14/01/2015 11:00:00 - 14/01/2015 12:00:00","BZN|NL","Without Sequence","45.50","",""
"14/01/2015 12:00:00 - 14/01/2015 13:00:00","BZN|NL","Without Sequence","40.81","",""
"14/01/2015 13:00:00 - 14/01/2015 14:00:00","BZN|NL","Without Sequence","42.04","",""
"14/01/2015 14:00:00 - 14/01/2015 15:00:00","BZN|NL","Without Sequence","38.94","",""
"14/01/2015 15:00:00 - 14/01/2015 16:00:00","BZN|NL","Without Sequence","41.15","",""
"14/01/2015 16:00:00 - 14/01/2015 17:00:00","BZN|NL","Without Sequence","50.00","",""
"14/01/2015 17:00:00 - 14/01/2015 18:00:00","BZN|NL","Without Sequence","50.99","",""
"14/01/2015 18:00:00 - 14/01/2015 19:00:00","BZN|NL","Without Sequence","44.00","",""
"14/01/2015 19:00:00 - 14/01/2015 20:00:00","BZN|NL","Without Sequence","44.99","",""
"14/01/2015 20:00:00 - 14/01/2015 21:00:00","BZN|NL","Without Sequence","38.62","",""
"14/01/2015 21:00:00 - 14/01/2015 22:00:00","BZN|NL","Without Sequence","39.54","",""
"14/01/2015 22:00:00 - 14/01/2015 23:00:00","BZN|NL","Without Sequence","38.92","",""
"14/01/2015 23:00:00 - 15/01/2015 00:00:00","BZN|NL","Without Sequence","30.44","",""
"15/01/2015 00:00:00 - 15/01/2015 01:00:00","BZN|NL","Without Sequence","24.91","",""
"15/01/2015 01:00:00 - 15/01/2015 02:00:00","BZN|NL","Without Sequence","25.49","",""
"15/01/2015 02:00:00 - 15/01/2015 03:00:00","BZN|NL","Without Sequence","25.43","",""
"15/01/2015 03:00:00 - 15/01/2015 04:00:00","BZN|NL","Without Sequence","25.47","",""
"15/01/2015 04:00:00 - 15/01/2015 05:00:00","BZN|NL","Without Sequence","19.07","",""
"15/01/2015 05:00:00 - 15/01/2015 06:00:00","BZN|NL","Without Sequence","32.33","",""
"15/01/2015 06:00:00 - 15/01/2015 07:00:00","BZN|NL","Without Sequence","50.66","",""
"15/01/2015 07:00:00 - 15/01/2015 08:00:00","BZN|NL","Without Sequence","49.01","",""
"15/01/2015 08:00:00 - 15/01/2015 09:00:00","BZN|NL","Without Sequence","51.64","",""
"15/01/2015 09:00:00 - 15/01/2015 10:00:00","BZN|NL","Without Sequence","51.10","",""
"15/01/2015 10:00:00 - 15/01/2015 11:00:00","BZN|NL","Without Sequence","55.96","",""
"15/01/2015 11:00:00 - 15/01/2015 12:00:00","BZN|NL","Without Sequence","51.68","",""
"15/01/2015 12:00:00 - 15/01/2015 13:00:00","BZN|NL","Without Sequence","55.28","",""
"15/01/2015 13:00:00 - 15/01/2015 14:00:00","BZN|NL","Without Sequence","55.12","",""
"15/01/2015 14:00:00 - 15/01/2015 15:00:00","BZN|NL","Without Sequence","52.67","",""
"15/01/2015 15:00:00 - 15/01/2015 16:00:00","BZN|NL","Without Sequence","44.94","",""
"15/01/2015 16:00:00 - 15/01/2015 17:00:00","BZN|NL","Without Sequence","66.10","",""
"15/01/2015 17:00:00 - 15/01/2015 18:00:00","BZN|NL","Without Sequence","50.45","",""
"15/01/2015 18:00:00 - 15/01/2015 19:00:00","BZN|NL","Without Sequence","49.47","",""
"15/01/2015 19:00:00 - 15/01/2015 20:00:00","BZN|NL","Without Sequence","42.98","",""
"15/01/2015 20:00:00 - 15/01/2015 21:00:00","BZN|NL","Without Sequence","38.00","",""
"15/01/2015 21:00:00 - 15/01/2015 22:00:00","BZN|NL","Without Sequence","35.65","",""
"15/01/2015 22:00:00 - 15/01/2015 23:00:00","BZN|NL","Without Sequence","34.75","",""
"15/01/2015 23:00:00 - 16/01/2015 00:00:00","BZN|NL","Without Sequence","35.95","",""
"16/01/2015 00:00:00 - 16/01/2015 01:00:00","BZN|NL","Without Sequence","30.86","",""
"16/01/2015 01:00:00 - 16/01/2015 02:00:00","BZN|NL","Without Sequence","29.47","",""
"16/01/2015 02:00:00 - 16/01/2015 03:00:00","BZN|NL","Without Sequence","24.80","",""
"16/01/2015 03:00:00 - 16/01/2015 04:00:00","BZN|NL","Without Sequence","25.40","",""
"16/01/2015 04:00:00 - 16/01/2015 05:00:00","BZN|NL","Without Sequence","29.58","",""
"16/01/2015 05:00:00 - 16/01/2015 06:00:00","BZN|NL","Without Sequence","39.73","",""
"16/01/2015 06:00:00 - 16/01/2015 07:00:00","BZN|NL","Without Sequence","49.49","",""
"16/01/2015 07:00:00 - 16/01/2015 08:00:00","BZN|NL","Without Sequence","50.71","",""
"16/01/2015 08:00:00 - 16/01/2015 09:00:00","BZN|NL","Without Sequence","48.98","",""
