"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2018 19:30 - 03/01/2018 19:45","BZN|NL","16270.00","16876.96"
"03/01/2018 19:45 - 03/01/2018 20:00","BZN|NL","16113.00","16778.98"
"03/01/2018 20:00 - 03/01/2018 20:15","BZN|NL","15879.00","16655.90"
"03/01/2018 20:15 - 03/01/2018 20:30","BZN|NL","15666.00","16501.71"
"03/01/2018 20:30 - 03/01/2018 20:45","BZN|NL","15469.00","16266.15"
"03/01/2018 20:45 - 03/01/2018 21:00","BZN|NL","15199.00","16044.74"
"03/01/2018 21:00 - 03/01/2018 21:15","BZN|NL","14915.00","15764.13"
"03/01/2018 21:15 - 03/01/2018 21:30","BZN|NL","14745.00","15570.63"
"03/01/2018 21:30 - 03/01/2018 21:45","BZN|NL","14477.00","15324.60"
"03/01/2018 21:45 - 03/01/2018 22:00","BZN|NL","14264.00","15017.33"
"03/01/2018 22:00 - 03/01/2018 22:15","BZN|NL","13968.00","14734.53"
"03/01/2018 22:15 - 03/01/2018 22:30","BZN|NL","13745.00","14487.53"
"03/01/2018 22:30 - 03/01/2018 22:45","BZN|NL","13432.00","14211.53"
"03/01/2018 22:45 - 03/01/2018 23:00","BZN|NL","13195.00","13913.23"
"03/01/2018 23:00 - 03/01/2018 23:15","BZN|NL","13054.00","13592.13"
"03/01/2018 23:15 - 03/01/2018 23:30","BZN|NL","12867.00","13388.19"
"03/01/2018 23:30 - 03/01/2018 23:45","BZN|NL","12617.00","13120.32"
"03/01/2018 23:45 - 04/01/2018 00:00","BZN|NL","12341.00","12837.58"
"04/01/2018 00:00 - 04/01/2018 00:15","BZN|NL","12094.00","12663.34"
"04/01/2018 00:15 - 04/01/2018 00:30","BZN|NL","11952.00","12761.71"
"04/01/2018 00:30 - 04/01/2018 00:45","BZN|NL","11859.00","12755.78"
"04/01/2018 00:45 - 04/01/2018 01:00","BZN|NL","11693.00","12612.91"
"04/01/2018 01:00 - 04/01/2018 01:15","BZN|NL","11521.00","12323.57"
"04/01/2018 01:15 - 04/01/2018 01:30","BZN|NL","11428.00","12122.97"
"04/01/2018 01:30 - 04/01/2018 01:45","BZN|NL","11297.00","12032.08"
"04/01/2018 01:45 - 04/01/2018 02:00","BZN|NL","11170.00","11887.23"
"04/01/2018 02:00 - 04/01/2018 02:15","BZN|NL","11109.00","11775.29"
"04/01/2018 02:15 - 04/01/2018 02:30","BZN|NL","10999.00","11755.93"
"04/01/2018 02:30 - 04/01/2018 02:45","BZN|NL","10925.00","11706.62"
"04/01/2018 02:45 - 04/01/2018 03:00","BZN|NL","10851.00","11638.29"
"04/01/2018 03:00 - 04/01/2018 03:15","BZN|NL","10880.00","11552.77"
"04/01/2018 03:15 - 04/01/2018 03:30","BZN|NL","10932.00","11495.75"
"04/01/2018 03:30 - 04/01/2018 03:45","BZN|NL","10867.00","11546.61"
"04/01/2018 03:45 - 04/01/2018 04:00","BZN|NL","10808.00","11523.77"
"04/01/2018 04:00 - 04/01/2018 04:15","BZN|NL","10864.00","11449.81"
"04/01/2018 04:15 - 04/01/2018 04:30","BZN|NL","10888.00","11514.64"
"04/01/2018 04:30 - 04/01/2018 04:45","BZN|NL","10943.00","11548.33"
"04/01/2018 04:45 - 04/01/2018 05:00","BZN|NL","10962.00","11605.68"
"04/01/2018 05:00 - 04/01/2018 05:15","BZN|NL","11101.00","11642.62"
"04/01/2018 05:15 - 04/01/2018 05:30","BZN|NL","11263.00","11818.65"
"04/01/2018 05:30 - 04/01/2018 05:45","BZN|NL","11467.00","12035.24"
"04/01/2018 05:45 - 04/01/2018 06:00","BZN|NL","11665.00","12335.11"
"04/01/2018 06:00 - 04/01/2018 06:15","BZN|NL","12170.00","12643.67"
"04/01/2018 06:15 - 04/01/2018 06:30","BZN|NL","12619.00","13126.19"
